date,rain
1813,23.56
1814,26.41
1815,23.26
1816,27.76
1817,19.44
1818,25.85
1819,22.93
1820,23.06
1821,22.27
1822,26.25
1823,22.67
1824,33.82
1825,26.64
1826,28.15
1827,22.86
1828,38.1
1829,26.75
1830,26.07
1831,22.67
1832,22.57
1833,19.82
1834,21.63
1835,22.65
1836,19.22
1837,22.21
1838,27.57
1839,23.4
1840,18.82
1841,30.28
1842,27.01
1843,22.61
1844,17.69
1845,20.65
1846,25.36
1847,21.86
1848,31.69
1849,23
1850,24.78
1851,27.49
1852,22.75
1853,20.63
1854,22.18
1855,21.59
1856,25.42
1857,28.44
1858,27.92
1859,19.21
1860,19.8
1861,22.54
1862,22.97
1863,24.79
1864,31.24
1865,23.86
1866,27.88
1867,20.12
1868,19.43
1869,26.36
1870,35.34
1871,18.77
1872,16.93
1873,21.32
1874,26.16
1875,27.14
1876,27.74
1877,27.94
1878,23.28
1879,24.26
1880,27.88
1881,23.65
1882,24.11
1883,25.32
1884,24.34
1885,31.13
1886,17.7
1887,25.89
1888,28.21
1889,29.48
1890,25.02
1891,28.17
1892,24.4
1893,23.85
1894,21.47
1895,22.17
1896,23.01
1897,23.88
1898,32.43
1899,25.08
1900,27.42
1901,23.09
1902,29.81
1903,18.65
1904,32.24
1905,31.6
1906,33.86
1907,34.08
1908,20.35
1909,21.23
1910,23.52
1911,20.84
1912,23.67
