date,tons
200601,200.1
200602,199.5
200603,199.4
200604,198.9
200605,199
200606,200.2
200607,198.6
200608,200
200609,200.3
200610,201.2
200611,201.6
200612,201.5
200701,201.5
200702,203.5
200703,204.9
200704,207.1
200705,210.5
200706,210.5
200707,209.8
200708,208.8
200709,209.5
200710,213.2
200711,213.7
200712,215.1
200801,218.7
200802,219.8
200803,220.5
200804,223.8
200805,222.8
200806,223.8
200807,221.7
200808,222.3
200809,220.8
200810,219.4
200811,220.1
200812,220.6
200901,218.9
200902,217.8
200903,217.7
200904,215
200905,215.3
200906,215.9
200907,216.7
200908,216.7
200909,217.7
200910,218.7
200911,222.9
200912,224.9
201001,222.2
201002,220.7
201003,220
201004,218.7
201005,217
201006,215.9
201007,215.8
201008,214.1
201009,212.3
201010,213.9
201011,214.6
201012,213.6
201101,212.1
201102,211.4
201103,213.1
201104,212.9
201105,213.3
201106,211.5
201107,212.3
201108,213
201109,211
201110,210.7
201111,210.1
201112,211.4
201201,210
201202,209.7
201203,208.8
201204,208.8
201205,208.8
201206,210.6
201207,211.9
201208,212.8
201209,212.5
201210,214.8
201211,215.3
201212,217.5
201301,218.8
201302,220.7
201303,222.2
201304,226.7
201305,228.4
201306,233.2
201307,235.7
201308,237.1
201309,240.6
201310,243.8
201311,245.3
201312,246
201401,246.3
201402,247.7
201403,247.6
201404,247.8
201405,249.4
201406,249
201407,249.9
201408,250.5
201409,251.5
201410,249
201411,247.6
201412,248.8
201501,250.4
201502,250.7
201503,253
201504,253.7
201505,255
201506,256.2
201507,256
201508,257.4
201509,260.4
201510,260
201511,261.3
201512,260.4
201601,261.6
201602,260.8
201603,259.8
201604,259
201605,258.9
201606,257.4
201607,257.7
201608,257.9
201609,257.4
201610,257.3
201611,257.6
201612,258.9
201701,257.8
201702,257.7
201703,257.2
201704,257.5
201705,256.8
201706,257.5
201707,257
201708,257.6
201709,257.3
201710,257.5
201711,259.6
201712,261.1
